,title,artist,top genre,year,bpm,duration,acousticness,popularity,country
571,Con Altura,ROSALÍA,r&b en espanol,2019,98.0,162,39.0,88,spain
570,No Me Conoce - Remix,Jhay Cortez,latin,2019,92.0,309,14.0,88,spain
569,Otro Trago - Remix,Sech,panamanian pop,2019,176.0,288,7.0,88,spain
367,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,129.0,126,61.0,88,canada
224,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,belgium
369,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,127.0,153,2.0,88,canada
468,No Me Conoce - Remix,Jhay Cortez,latin,2019,92.0,309,14.0,88,colombia
469,QUE PRETENDES,J Balvin,latin,2019,93.0,222,3.0,88,colombia
470,Con Altura,ROSALÍA,r&b en espanol,2019,98.0,162,39.0,88,colombia
471,0.95833333333333337,Maluma,latin,2019,96.0,176,22.0,88,colombia
865,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,italy
415,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,129.0,126,61.0,88,germany
124,0.95833333333333337,Maluma,latin,2019,96.0,176,22.0,88,argentina
414,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,germany
520,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,170.0,259,5.0,88,chile
521,Otro Trago - Remix,Sech,panamanian pop,2019,176.0,288,7.0,88,chile
522,QUE PRETENDES,J Balvin,latin,2019,93.0,222,3.0,88,chile
68,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,africa
69,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113.0,156,76.0,88,africa
70,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,127.0,153,2.0,88,africa
71,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,129.0,126,61.0,88,africa
519,No Me Conoce - Remix,Jhay Cortez,latin,2019,92.0,309,14.0,88,chile
368,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113.0,156,76.0,88,canada
568,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,170.0,259,5.0,88,spain
169,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,australia
620,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,113.0,156,76.0,88,usa
712,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90.0,158,53.0,88,india
621,Underneath the Tree,Kelly Clarkson,dance pop,2013,160.0,230,0.0,88,usa
622,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,127.0,153,2.0,88,usa
168,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,129.0,126,61.0,88,australia
271,No Me Conoce - Remix,Jhay Cortez,latin,2019,92.0,309,14.0,88,bolivia
274,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,170.0,259,5.0,88,bolivia
273,QUE PRETENDES,J Balvin,latin,2019,93.0,222,3.0,88,bolivia
272,0.95833333333333337,Maluma,latin,2019,96.0,176,22.0,88,bolivia
711,Believer,Imagine Dragons,modern rock,2017,125.0,204,6.0,89,india
413,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,germany
64,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,africa
759,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,indonesia
518,Hola - Remix,Dalex,latin,2019,182.0,250,47.0,89,chile
619,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,usa
65,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,africa
710,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,india
63,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,africa
23,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,75.0,171,96.0,89,world
660,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,france
24,Señorita,Shawn Mendes,canadian pop,2019,117.0,191,4.0,89,world
760,Mean It,Lauv,pop,2019,96.0,233,4.0,89,indonesia
22,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,134.0,117,91.0,89,world
21,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,world
20,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,world
219,White Christmas,Bing Crosby,adult standards,1942,131.0,177,67.0,89,belgium
220,The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,79.0,192,92.0,89,belgium
